Year,Country,Region,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths
1936,Canada,Northern America,,1936,7,6,1936,7,6,500
1953,India,Southern Asia,,1953,6,,1953,6,,400
1958,India,Southern Asia,,1958,5,,1958,5,,651
1965,India,Southern Asia,,1965,6,,1965,6,,100
1968,Brazil,South America,,1968,12,,1968,12,,113
1972,Argentina,South America,,1972,1,4,1972,1,4,100
1975,Brazil,South America,,1975,12,,1975,12,,56
1978,India,Southern Asia,,1978,5,,1978,5,,150
1936,United States of America (the),Northern America,,1936,7,,1936,7,,1193
1951,United States of America (the),Northern America,,1951,8,,1951,8,,44
1953,Iran (Islamic Republic of),Southern Asia,,1953,7,,1953,7,,158
1953,Pakistan,Southern Asia,,1953,7,,1953,7,,111
1955,United States of America (the),Northern America,,1955,8,30,1955,9,7,107
1962,Mexico,Central America,,1962,5,,1962,5,,50
1966,United States of America (the),Northern America,,1966,7,,1966,7,,80
1966,United States of America (the),Northern America,,1966,7,9,1966,7,9,182
1968,Mexico,Central America,,1968,7,,1968,7,,40
1972,United States of America (the),Northern America,,1972,7,22,1972,7,22,10
1973,United States of America (the),Northern America,,1973,8,31,1973,8,31,22
1975,Pakistan,Southern Asia,,1975,6,,1975,6,,14
1985,Greece,Southern Europe,,1985,8,5,1985,8,5,20
1987,Greece,Southern Europe,41,1987,7,20,1987,7,31,1000
1988,Greece,Southern Europe,,1988,7,3,1988,7,3,56
1979,India,Southern Asia,,1979,5,,1979,5,,300
1979,India,Southern Asia,,1979,7,,1979,7,,100
1979,Pakistan,Southern Asia,,1979,7,,1979,7,,70
1980,India,Southern Asia,40,1980,4,29,1980,4,29,50
1983,Peru,South America,,1983,1,,1983,1,,17
1985,India,Southern Asia,46,1985,6,6,1985,6,6,103
1987,India,Southern Asia,,1987,6,,1987,6,,100
1988,India,Southern Asia,,1988,5,,1988,5,,418
1988,India,Southern Asia,,1988,5,,1988,5,,32
1980,United States of America (the),Northern America,,1980,6,,1980,9,,1260
1983,United States of America (the),Northern America,,1983,7,,1983,7,,188
1986,United States of America (the),Northern America,,1986,7,,1986,8,,48
